onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
3543.885013	13.2231873	4	1	1	1	1	1	0	0	0	0	0	0	0	0
3557.11654	14.1063774	4	2	2	2	4	4	0	0	0	0	0	0	0	0
3571.231251	14.1147575	4	3	3	3	3	4	3	0.3756209	0	0	1	0.4087282	0	0
3585.354326	13.6397557	4	4	3	1	4	3	0	0	3	0.4254325	1	0.5188277	0	0
3599.002401	13.6814893	4	5	2	3	1	3	0	0	3	0.4768768	0	0	0	0
3612.692221	13.9813681	4	6	3	3	4	3	0	0	3	0.3685367	1	0.6421601	0	0
3626.681933	13.8397464	4	7	1	3	4	1	2	0.9515115	0	0	0	0	0	0
3640.530011	13.1981925	4	8	3	2	2	1	2	0.4435452	0	0	0	0	0	0
3653.736578	13.8814152	4	9	1	1	1	1	2	0.4515892	0	0	0	0	0	0
3667.626324	13.906432	4	10	1	3	4	3	0	0	3	0.4591095	0	0	0	0
3681.541079	13.914755	4	11	1	3	1	2	0	0	2	0.3839175	0	0	0	0
3695.464164	13.6148345	4	12	2	1	2	1	2	0.9852175	0	0	1	0.7753627	0	0
3709.087335	14.1563908	4	13	1	2	4	3	0	0	3	0.4264292	0	0	0	0
3723.252056	14.064727	4	14	2	1	2	1	2	0.6864575	0	0	0	0	0	0
3737.325115	13.614802	4	15	3	1	1	1	0	0	3	0.4530846	1	1.5095126	0	0
3750.94825	14.1980427	4	16	1	2	1	3	2	1.1694681	3	0.4504887	0	0	0	0
3765.154614	14.0647809	4	17	3	2	1	3	2	0.5681957	3	0.7846896	1	0.3861858	0	0
3779.22773	14.0730397	4	18	3	2	4	3	0	0	3	0.3089698	1	0.4925186	0	0
3793.309102	13.1982091	4	19	2	3	1	4	0	0	0	0	0	0	0	0
3806.515646	14.0814394	4	20	2	2	1	4	0	0	3	0.4919088	1	0.4188082	0	0
3820.605574	14.039559	4	21	3	2	1	2	0	0	2	0.2360687	1	1.4679171	0	0
3834.653465	13.6064581	4	22	3	3	4	3	0	0	3	0.5853192	0	0	0	0
3848.26827	13.6231194	4	23	3	1	4	2	0	0	0	0	1	0.3585653	0	0
3861.899758	14.0897402	4	24	1	3	1	1	2	0.4104466	0	0	0	0	0	0
3875.997828	14.1230697	4	25	2	3	3	4	3	0.7354991	0	0	0	0	0	0
3890.129213	13.1982258	4	26	1	2	4	2	0	0	0	0	0	0	0	0
3903.335778	14.0730595	4	27	2	2	4	2	2	0.7601913	0	0	0	0	0	0
3917.417172	14.0730754	4	28	2	1	2	2	2	0.4764137	0	0	1	0.3835758	0	0
3931.498539	14.0731066	4	29	2	1	3	1	0	0	2	0.6274537	1	0.4930425	0	0
3945.579994	13.6481283	4	30	1	1	2	3	0	0	3	0.4419257	0	0	0	0
3959.23645	14.0980945	4	31	3	1	2	1	2	0.3086034	0	0	1	0.500242	0	0
3973.342873	14.0314152	4	32	2	2	2	2	2	0.5252863	0	0	1	0.8585001	0	0
3987.382624	13.5398487	4	33	1	2	3	4	3	1.3025721	0	0	1	0.5419132	0	0
4000.930784	14.0897347	4	34	3	3	1	3	0	0	3	0.3684209	0	0	0	0
4015.02885	14.048105	4	35	2	3	2	4	2	0.2847854	0	0	1	0.7335412	0	0
4029.085285	14.031376	4	36	1	1	3	3	0	0	0	0	1	0.4085814	0	0
